# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 16 09:22:14 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,ttv_flag,st_teff,st_mass,st_age,ra,dec,sy_dist
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,335.10001000,0.990000,,,4392.41060,,0.290000,,0,6331.00,1.93,,39.2412736,24.6480103,44.6570000
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,270.27000000,0.877000,,,2511.48007,,0.453000,,0,4415.00,1.23,4.604,130.0528099,64.3280504,73.4603000
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,479.10000000,1.190000,,,1233.13000,,0.380000,,0,4200.00,0.98,9.490,276.4975053,65.5633652,90.6545000
47 UMa b,47 UMa,1,1,3,Radial Velocity,1996,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,1078.00000000,2.100000,,,804.08000,,0.032000,,0,5872.00,1.06,,164.8647611,40.4304931,13.7967000
47 UMa c,47 UMa,1,1,3,Radial Velocity,2001,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,2391.00000000,3.600000,,,171.62100,,0.098000,,0,5872.00,1.06,,164.8647611,40.4304931,13.7967000
47 UMa d,47 UMa,1,1,3,Radial Velocity,2009,<a refstr=GREGORY___FISCHER_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.403..731G/abstract target=ref> Gregory &amp; Fischer 2010 </a>,14002.00000000,11.600000,,,521.22000,,0.160000,,0,5872.00,1.06,,164.8647611,40.4304931,13.7967000
51 Eri b,51 Eri,1,3,1,Imaging,2015,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,,13.200000,,,635.66000,,,700,0,,1.75,0.020,69.4007424,-2.4738245,29.7575000
51 Peg b,51 Peg,1,1,1,Radial Velocity,1995,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,4.23078500,0.052700,,,150.00900,,0.013000,,0,5758.00,1.03,,344.3675399,20.7690958,15.4614000
55 Cnc b,55 Cnc,1,2,5,Radial Velocity,1996,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,14.65160000,0.113400,,,255.40000,,0.000000,,0,5172.00,0.91,,133.1468373,28.3298154,12.5855000
55 Cnc c,55 Cnc,1,2,5,Radial Velocity,2004,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,44.39890000,0.237300,,,51.20000,,0.030000,,0,5172.00,0.91,,133.1468373,28.3298154,12.5855000
55 Cnc d,55 Cnc,1,2,5,Radial Velocity,2002,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,5574.20000000,5.957000,,,991.60000,,0.130000,,0,5172.00,0.91,,133.1468373,28.3298154,12.5855000
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.73654740,0.015440,1.875,0.167,7.99000,6.66000,0.050000,,0,5172.00,0.91,,133.1468373,28.3298154,12.5855000
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88000000,0.770800,,,47.80000,,0.080000,,0,5172.00,0.91,,133.1468373,28.3298154,12.5855000
6 Lyn b,6 Lyn,1,1,1,Radial Velocity,2008,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,919.86000000,2.028000,,,597.83523,,0.042000,,0,4941.00,1.32,,97.6960311,58.1611753,54.6599000
61 Vir b,61 Vir,1,1,3,Radial Velocity,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,4.21500000,0.050201,,,5.10000,,0.120000,,0,5577.00,0.94,8.960,199.5964550,-18.3157745,8.5033200
61 Vir c,61 Vir,1,1,3,Radial Velocity,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,38.02100000,0.217500,,,18.20000,,0.140000,,0,5577.00,0.94,8.960,199.5964550,-18.3157745,8.5033200
61 Vir d,61 Vir,1,1,3,Radial Velocity,2009,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>,123.01000000,0.476000,,,22.90000,,0.350000,,0,5577.00,0.94,8.960,199.5964550,-18.3157745,8.5033200
7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,735.10000000,1.758000,,,587.98550,,0.060000,,0,4826.00,1.34,4.300,99.1712760,-19.2561808,19.8101000
7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...631A.136L/abstract target=ref>Luque et al. 2019</a>,996.00000000,2.153000,,,276.51210,,0.080000,,0,4826.00,1.34,4.300,99.1712760,-19.2561808,19.8101000
70 Vir b,70 Vir,1,1,1,Radial Velocity,1996,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,116.68800000,0.481000,,,2357.02728,,0.398800,,0,5495.00,1.09,,202.1064898,13.7763085,17.9011000
75 Cet b,75 Cet,1,2,2,Radial Velocity,2012,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,696.62000000,1.912000,,,787.89662,,0.093000,,0,4809.00,1.92,,38.0391598,-1.0350269,82.9613000
75 Cet c,75 Cet,1,2,2,Radial Velocity,2023,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,2051.62000000,3.929000,,,289.85951,,0.023000,,0,4809.00,1.92,,38.0391598,-1.0350269,82.9613000
8 UMi b,8 UMi,1,1,1,Radial Velocity,2015,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,93.40000000,0.490000,,,416.35730,,0.060000,,0,4847.00,1.44,,224.2016850,74.9009379,162.5520000
81 Cet b,81 Cet,1,1,1,Radial Velocity,2008,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,1005.57000000,2.104000,,,1051.05854,,0.037000,,0,4734.00,1.23,,39.4243555,-3.3963607,101.2600000
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,181.40000000,0.700000,,,1017.00000,,0.027000,,0,4665.00,1.40,3.560,348.9745031,-9.0878076,44.0304000
AB Aur b,AB Aur,1,1,1,Imaging,2022,<a refstr=CURRIE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...76C/abstract target=ref>Currie et al. 2022</a>,,93.900000,,,2860.45566,,0.400000,,0,9770.00,2.40,0.003,73.9410446,30.5510888,162.1270000
AB Pic b,AB Pic,1,1,1,Imaging,2005,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,,260.000000,,,4290.50000,,,,0,,,0.030,94.8039208,-58.0541184,50.0475000
AF Lep b,AF Lep,1,1,1,Imaging,2023,<a refstr=FRANSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205420F/abstract target=ref>Franson et al. 2023</a>,8030.00000000,8.400000,,,1017.05090,,0.240000,,0,6130.00,1.20,0.024,81.7699216,-11.9011752,26.8564000
AU Mic b,AU Mic,1,1,3,Transit,2020,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.46299910,0.064500,,,20.12000,1.32000,0.186000,,1,,0.50,,311.2911369,-31.3424500,9.7221000
AU Mic c,AU Mic,1,1,3,Transit,2021,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,18.85899100,0.110100,,,9.60000,1.22000,,,0,,0.50,,311.2911369,-31.3424500,9.7221000
AU Mic d,AU Mic,1,1,3,Transit Timing Variations,2023,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,12.73596000,,,,1.05300,,0.003050,,0,3678.00,0.51,0.020,311.2911369,-31.3424500,9.7221000
BD+03 2562 b,BD+03 2562,1,1,1,Radial Velocity,2017,<a refstr=VILLAVER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..38V/abstract target=ref>Villaver et al. 2017</a>,481.90000000,1.300000,,,2034.11200,,0.200000,,0,4095.00,1.14,5.200,177.5647268,2.7601075,1070.6300000
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,268.94000000,0.780000,,,330.54320,,0.290000,,0,4864.00,0.49,,318.4010002,14.6893834,49.3520000
BD+15 2375 b,BD+15 2375,1,1,1,Radial Velocity,2016,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>,153.22000000,0.576000,,,337.21763,,0.001000,,0,4649.00,1.08,7.410,176.4820239,14.6163182,768.0450000
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,137.48000000,0.539000,,,352.78000,,0.260000,,0,4796.00,1.10,7.100,240.0956400,15.5467507,426.4200000
BD+20 2457 b,BD+20 2457,1,1,2,Radial Velocity,2009,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,379.63000000,1.450000,,,6807.63000,,0.150000,,0,4137.00,2.80,,154.1867820,19.8912626,1539.7100000
BD+20 2457 c,BD+20 2457,1,1,2,Radial Velocity,2009,<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>,621.99000000,2.010000,,,3963.17000,,0.180000,,0,4137.00,2.80,,154.1867820,19.8912626,1539.7100000
BD+20 274 b,BD+20 274,1,1,1,Radial Velocity,2012,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>,578.20000000,1.300000,,,1334.88600,,0.210000,,0,4296.00,0.80,,25.9203179,21.0052692,1322.5100000
BD+20 594 b,BD+20 594,1,1,1,Transit,2016,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.68550000,,2.578,0.230,22.24810,,0.000000,,0,5766.00,1.67,,53.6511231,20.5990205,179.4610000
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,307.88000000,0.830000,,,432.24663,,0.120000,,0,5004.00,0.81,,32.9470485,45.9242187,53.6220000
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,392.60000000,1.000000,,,289.22530,,0.200000,,0,4414.00,0.74,,40.7102869,49.5869395,871.4930000
BD+48 740 b,BD+48 740,1,1,1,Radial Velocity,2018,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>,733.00000000,1.700000,,,540.31100,,0.760000,,0,4534.00,1.09,,40.7425426,48.9300579,666.5890000
BD+49 828 b,BD+49 828,1,1,1,Radial Velocity,2015,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>,2590.00000000,4.200000,,,508.50000,,0.350000,,0,4943.00,1.52,2.340,45.6406187,49.7299481,442.0420000
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,265.59000000,0.780000,,,228.83645,,0.270000,,0,5012.00,0.91,,23.9636676,56.6982282,52.5697000
BD+60 1417 b,BD+60 1417,1,1,1,Imaging,2021,<a refstr=FAHERTY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...923...48F/abstract target=ref>Faherty et al. 2021</a>,,1662.000000,14.684,1.310,4767.42610,,,1303,0,4993.00,1.00,0.100,190.8875453,60.0143636,44.9543000
BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,1198.48000000,2.060000,,,1258.60049,,0.880000,,0,5000.00,0.82,,271.3979337,63.6700064,38.0473000
BD-00 4475 b,BD-00 4475,1,1,1,Radial Velocity,2021,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,723.20000000,1.480000,,,7961.60160,,0.390000,,0,5040.00,0.81,,347.7108441,0.4085612,42.6402000
BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,3.87280000,0.042800,,,8.50000,,0.000000,,0,4324.00,0.70,4.400,88.2511811,-5.9963378,20.2695000
BD-06 1339 c,BD-06 1339,1,1,2,Radial Velocity,2013,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,125.94000000,0.435000,,,53.00000,,0.310000,,0,4324.00,0.70,4.400,88.2511811,-5.9963378,20.2695000
BD-08 2823 b,BD-08 2823,1,1,2,Radial Velocity,2009,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,5.60000000,0.060000,,,12.71320,,0.150000,,0,4816.00,0.50,,150.1971964,-9.5165689,41.3342000
